app_num,main_IPC,IPC,pub_date,pub_num,app_date,priority,Int_filing,Int_pub,entry_date,initial_app_num,tech_div,IPCcount,SingleIPC,IPCcount_unique,total_applicant,collaboration_applicant,type1_company,type2_university,type3_individual,total_inventers,collaboration_inventer,if_agency,total_agents,app_year,total_claims,paid_claims,patent_status_n,nation_province_code_2,Chinese,priority_d,divisional_app,substantive_review,app_withdraw,reject,recover,decision_made,grant,waive,terminate,pub_date_c,grant_c,reject_c,subrev_withdraw_dur,app_withdraw_c,pub_grant_dur,pub_reject_dur,substantive_review_c,event,event_date,start_end_dur,age_at_subreview,age_at_event
CN99813510.0,A61K38/37,"A61K38/37;A61K38/48;A61K39/395;A61P7/04;//(A61K38/37,38:17)(A61K39/395,38:37,38:48)",2002.01.16,CN1331602A,1999-09-21,"1998.09.21 US 09/158,178",PCT/US99/21991 1999.09.21,WO00/16801 英 2000.03.30,2001.05.21,0,0.375,4,0,2,2,1,1,0,0,4,1,1,2,1999,36,1,2,US,0,1,0,2002-01-16,2006-09-06,NA,NA,NA,NA,NA,NA,2002-01-16,NA,NA,55.69315068,2006-09-06,NA,NA,2002-01-16,1,2006-09-06,55.69315068,27.87945205,83.57260274
CN01123184.X,A62D3/00,A62D3/00;B09B3/00;C07B35/06;C07D319/10,2002.01.16,CN1330969A,2001-05-31,2000.05.31 JP 166525/2000;2000.06.13 JP 177545/2000,NA,NA,NA,0,0.75,4,0,4,1,0,1,0,0,2,1,1,2,2001,8,0,2,JP,0,1,0,2003-08-06,NA,NA,NA,NA,2006-01-25,NA,2010-08-04,2002-01-16,2006-01-25,NA,NA,NA,48.32876712,NA,2003-08-06,3,2006-01-25,29.68767123,26.20273973,55.89041096
CN99814542.4,A61L2/10,A61L2/10,2002.01.09,CN1330559A,1999-12-21,"1998.12.23 US 60/113,770",PCT/US99/30516 1999.12.21,WO00/38740 英 2000.07.06,2001.06.15,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1999,20,1,1,US,0,1,0,2002-01-09,NA,NA,NA,NA,2004-11-10,NA,NA,2002-01-09,2004-11-10,NA,NA,NA,34.06027397,NA,2002-01-09,3,2004-11-10,34.06027397,24.65753425,58.71780822
CN00130795.9,A01N43/82,A01N43/82,2002.01.09,CN1329827A,1993-05-07,1992.05.07 JP 114808/1992;1993.03.03 JP 42523/1993,NA,NA,NA,CN93107075.9,0,1,1,1,1,0,1,0,0,10,1,1,1,1993,3,0,2,JP,0,1,1,2001-11-28,NA,NA,NA,NA,2004-05-19,NA,2010-07-28,2002-01-09,2004-05-19,NA,NA,NA,28.30684932,NA,2001-11-28,3,2004-05-19,29.68767123,102.8054795,132.4931507
CN99814824.5,A61L15/62,A61L15/62,2002.01.16,CN1331607A,1999-12-13,"1998.12.21 US 09/218,122",PCT/US99/29481 1999.12.13,WO00/37120 英 2000.06.29,2001.06.21,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1999,20,1,2,US,0,1,0,2002-01-16,NA,NA,NA,NA,2005-04-13,NA,2010-02-10,2002-01-16,2005-04-13,NA,NA,NA,38.89315068,NA,2002-01-16,3,2005-04-13,38.89315068,25.15068493,64.04383562
CN00110566.3,A46B9/04,A46B9/04,2002.01.16,CN1330905A,2000-06-23,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,1,1,0,1,1,2000,1,0,2,22,1,0,0,2004-01-14,2005-03-09,NA,NA,NA,NA,NA,NA,2002-01-16,NA,NA,13.80821918,2005-03-09,NA,NA,2004-01-14,1,2005-03-09,13.80821918,42.73972603,56.54794521
CN99815059.2,A61K47/08,A61K47/08;A61K47/30;A61K9/14;A61K9/22,2002.01.16,CN1331605A,1999-10-22,1998.10.26 JP 304030/1998,PCT/JP99/05834 1999.10.22,WO00/24423 日 2000.05.04,2001.06.25,0,0,4,0,1,1,0,1,0,0,5,1,1,1,1999,11,1,2,JP,0,1,0,2002-01-16,2005-01-26,NA,NA,NA,NA,NA,NA,2002-01-16,NA,NA,36.36164384,2005-01-26,NA,NA,2002-01-16,1,2005-01-26,36.36164384,26.86027397,63.22191781
CN99814903.9,A61K31/663,A61K31/663;A61P31/00,2002.01.16,CN1331597A,1999-12-23,1998.12.23 DE 19859668.5,PCT/EP99/10350 1999.12.23,WO00/38660 德 2000.07.06,2001.06.22,0,0.5,2,0,2,1,0,1,0,0,1,0,1,1,1999,10,0,2,DE,0,1,0,2002-01-16,2004-09-22,NA,NA,NA,NA,NA,NA,2002-01-16,NA,NA,32.21917808,2004-09-22,NA,NA,2002-01-16,1,2004-09-22,32.21917808,24.82191781,57.04109589
CN99814719.2,A61K9/70,A61K9/70;A61K31/465,2002.01.16,CN1331586A,1999-12-14,"1998.12.18 US 60/112,730;1999.03.16 US 60/124,679;1999.03.30 US 60/126,798",PCT/US99/29731 1999.12.14,WO00/37058 英 2000.06.29,2001.06.18,0,0,2,0,1,1,0,1,0,0,1,0,1,1,1999,9,0,2,US,0,1,0,2002-01-16,NA,2010-03-10,NA,NA,NA,NA,NA,2002-01-16,NA,2010-03-10,NA,NA,NA,97.80821918,2002-01-16,2,2010-03-10,97.80821918,25.11780822,122.9260274
CN99814969.1,A61K31/15,A61K31/15;A61K31/445;A61K31/454;A61K31/5375;A61K31/496;A61P11/00,2002.01.16,CN1331588A,1999-12-14,1998.12.22 FR 98/16295,PCT/FR99/03122 1999.12.14,WO00/37068 法 2000.06.29,2001.06.22,0,0.277777778,6,0,2,1,0,1,0,0,1,0,1,2,1999,8,0,2,FR,0,1,0,2002-01-16,2004-08-11,NA,NA,NA,NA,NA,NA,2002-01-16,NA,NA,30.83835616,2004-08-11,NA,NA,2002-01-16,1,2004-08-11,30.83835616,25.11780822,55.95616438
CN99815052.5,A01M1/20,A01M1/20;A61L9/22,2002.01.16,CN1331559A,1999-12-20,1998.12.24 GB 9828728.7;1999.01.19 GB 9901146.2,PCT/GB99/04312 1999.12.20,WO00/38512 英 2000.07.06,2001.06.25,0,0.5,2,0,2,2,1,1,1,0,5,1,1,2,1999,18,1,2,GB,0,1,0,2002-02-20,NA,NA,NA,NA,2004-03-31,NA,2011-03-09,2002-01-16,2004-03-31,NA,NA,NA,26.46575342,NA,2002-02-20,3,2004-03-31,25.31506849,26.07123288,51.38630137
